,Unnamed: 0,Unnamed: 0.1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,ahorro,cheking,vivienda,proposito,outlier,Clusters,pca1,pca2
38,61,61,50,male,2,own,None,moderate,1537,15,radio/TV,0,1,0,0,1,1,-0.2303570071633849,-0.15990765036010254
39,64,64,26,female,2,own,little,None,3181,24,radio/TV,1,2,0,0,1,1,0.1441540438474726,-0.3226701134952706
40,66,66,29,female,2,own,little,None,2171,12,radio/TV,1,2,0,0,1,1,-0.1410924695703225,-0.2865240871681809
41,67,67,22,male,2,own,rich,moderate,1007,12,car,3,1,0,3,1,0,-0.14092498623017494,0.06748087578245704
42,68,68,37,male,2,free,little,None,1819,36,education,1,2,1,1,1,1,0.22239537162642262,-0.14657455518697884
43,69,69,25,female,2,own,None,None,2394,36,radio/TV,0,2,0,0,1,1,0.30210422987188545,-0.35627091153753027
44,70,70,30,female,2,own,little,None,8133,36,car,1,2,0,3,1,-1,0.6985785538231442,0.1153599268602138
45,75,75,66,male,3,free,little,little,1526,12,car,1,0,1,3,1,-1,-0.3140833354200871,0.3552884520961674
46,76,76,34,male,2,own,little,little,3965,42,radio/TV,1,0,0,0,1,2,0.46520777135054087,-0.30020975447109743
47,77,77,51,male,2,own,little,moderate,4771,11,radio/TV,1,1,0,0,1,1,-0.09121378143423604,-0.12719322304766473
48,79,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,1,1,0,2,1,0,0.33716629690322325,-0.08537918015464477
49,80,80,44,female,2,own,None,None,5943,24,radio/TV,0,2,0,0,1,-1,0.24056828374376055,-0.19017399666708948
50,81,81,47,male,2,own,quite rich,None,1213,15,radio/TV,2,2,0,0,1,1,-0.23748297514094813,-0.18120128753296655
51,85,85,29,female,3,own,little,None,1412,12,business,1,2,0,4,1,3,-0.13280285790974242,0.25048505758122935
52,86,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,1,1,0,2,1,0,-0.057665325511444356,-0.04512526133298281
53,89,89,28,male,2,own,little,little,1108,12,repairs,1,0,0,6,1,-1,-0.11899630593953049,0.5129537837964159
54,90,90,56,male,2,own,little,None,618,12,radio/TV,1,2,0,0,1,-1,-0.3701122207870798,-0.12074633910625245
55,91,91,54,male,2,own,little,little,1409,12,car,1,0,0,3,1,0,-0.2652482203322465,0.27693753712058655
56,94,94,54,male,2,own,rich,moderate,1318,12,car,3,1,0,3,1,0,-0.2712175569029221,0.2764108614054511
57,97,97,34,male,2,own,moderate,moderate,2622,18,business,4,1,0,4,1,0,0.025456787399392465,0.2785656212278869
58,98,98,36,male,2,own,little,moderate,2337,36,radio/TV,1,1,0,0,1,1,0.24656438318348803,-0.28539986020417446
59,101,101,24,male,2,rent,little,moderate,2323,36,radio/TV,1,1,2,0,1,1,0.3021560001040713,-0.36315464772196465
60,102,102,24,female,2,own,little,None,932,6,radio/TV,1,2,0,0,1,1,-0.3012544309294528,-0.3147724925262553
61,103,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,1,1,2,2,1,0,-0.20805550680095794,0.027198567184431442
62,104,104,26,male,2,rent,None,None,2445,12,car,0,2,2,3,1,0,-0.06543300779013106,0.101694763105538
63,106,106,39,male,3,own,little,None,6458,18,car,1,2,0,3,1,0,0.23902200572151677,0.19778060329720504
64,107,107,32,male,2,own,little,moderate,6078,12,car,1,1,0,3,1,0,0.1446262871041896,0.16155815843675125
65,108,108,30,female,2,own,None,little,7721,24,furniture/equipment,0,0,0,2,1,-1,0.45216714977502737,0.00019803304036050445
66,109,109,35,male,2,own,quite rich,moderate,1410,14,business,2,1,0,4,1,-1,-0.12704471646732363,0.2855481778865669
67,110,110,31,male,2,own,moderate,moderate,1449,6,business,4,1,0,4,1,-1,-0.24222706596498356,0.27493138114156374
68,112,112,28,male,1,rent,little,moderate,6260,18,car,1,1,2,3,1,0,0.27783459059098814,0.1254337024324259
69,113,113,25,female,2,own,little,None,7855,36,car,1,2,0,3,1,-1,0.7038883820823373,0.08138689462007945
70,114,114,35,male,2,own,quite rich,little,1680,12,radio/TV,2,0,0,0,1,1,-0.20155563640639929,-0.25052894072947746
71,118,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,2,0,0,2,1,0,0.4131267182000426,-0.08195099104642037
72,120,120,25,female,2,own,little,little,1835,21,radio/TV,1,0,0,0,1,1,0.00935301921113678,-0.33128982036697247
73,121,121,41,female,3,rent,little,None,3868,24,car,1,2,2,3,1,0,0.16214014547431482,0.18444967498187068
74,122,122,24,male,1,rent,little,None,1768,12,furniture/equipment,1,2,2,2,1,0,-0.11494337221449934,-0.05051959132479742
75,125,125,30,male,2,own,little,little,2121,12,car,1,0,0,3,1,0,-0.10552312866360804,0.12571081954874463
76,126,126,40,male,1,own,little,little,701,12,radio/TV,1,0,0,0,1,1,-0.28932102586712244,-0.2238309785324769
77,127,127,30,male,2,own,little,moderate,639,12,repairs,1,1,0,6,1,-1,-0.1591796776641526,0.52318500493509
78,128,128,34,male,3,own,little,moderate,1860,12,car,1,1,0,3,1,0,-0.14148063191123267,0.1500914976408911
79,129,129,29,female,2,own,little,little,3499,12,car,1,0,0,3,1,0,-0.010421153036818473,0.12721338128992776
80,131,131,29,male,2,own,little,little,6887,36,education,1,0,0,1,1,-1,0.5925148182347628,-0.169025276195387
81,132,132,27,male,1,own,little,None,2708,15,furniture/equipment,1,2,0,2,1,0,-0.016193101676933157,-0.03130404166548164
82,133,133,47,male,2,free,little,None,1984,18,furniture/equipment,1,2,1,2,1,0,-0.10665221403608258,0.08831869369895827
83,135,135,38,female,2,own,None,None,1240,12,radio/TV,0,2,0,0,1,1,-0.24454585678044205,-0.2336570645056622
84,138,138,35,male,2,own,None,moderate,2728,15,radio/TV,0,1,0,0,1,1,-0.08159338441198036,-0.2501067655074377
85,141,141,30,female,3,own,little,moderate,4795,36,radio/TV,1,1,0,0,1,2,0.43605705589339877,-0.3100107084926437
86,142,142,27,male,3,own,little,little,3416,27,radio/TV,1,0,0,0,1,1,0.20607668463742854,-0.32048048046439753
87,143,143,22,male,2,own,little,little,2462,18,furniture/equipment,1,0,0,2,1,0,0.04243231972166345,-0.07073514622838473
88,144,144,23,female,2,own,little,None,2288,21,furniture/equipment,1,2,0,2,1,0,0.0775257444961652,-0.07091266009301037
89,146,146,39,female,2,own,little,little,860,6,car,1,0,0,3,1,0,-0.3330565321283555,0.18795447322794356
90,147,147,51,female,2,own,moderate,None,682,12,car,4,2,0,3,1,0,-0.29880982169423015,0.25331147892355155
91,148,148,28,male,2,own,little,little,5371,36,furniture/equipment,1,0,0,2,1,-1,0.5122982251146152,-0.04892166785646563
92,149,149,46,male,2,own,rich,None,1582,18,radio/TV,3,2,0,0,1,1,-0.15735199285907706,-0.1911817367898922
93,151,151,38,male,2,own,little,None,1924,10,radio/TV,1,2,0,0,1,1,-0.23382176069187746,-0.2259361305277487
94,152,152,24,male,2,own,little,rich,5848,36,radio/TV,1,3,0,0,1,2,0.5333857958362854,-0.34275319831699463
95,155,155,20,female,2,rent,little,little,1282,12,furniture/equipment,1,0,2,2,1,0,-0.1279869065305524,-0.07922364039723115
96,157,157,45,male,1,own,little,little,339,12,education,1,0,0,1,1,-1,-0.32209354781498023,-0.05821154736586602
97,158,158,38,male,2,own,moderate,moderate,3512,24,car,4,1,0,3,1,0,0.15291507013123926,0.16297083316192618
98,160,160,36,male,2,own,moderate,None,2872,24,radio/TV,4,2,0,0,1,1,0.07679289135508208,-0.2597303621313987
99,161,161,30,female,2,own,little,None,1055,18,car,1,2,0,3,1,0,-0.07301667122945413,0.1082546358031742
100,162,162,36,male,2,own,quite rich,None,1262,15,domestic appliances,2,2,0,5,1,-1,-0.10987063718602263,0.4246338193123484
101,164,164,36,male,2,own,quite rich,None,909,36,car,2,2,0,3,1,0,0.1964500778622454,0.11238685802411924
102,165,165,32,male,2,own,quite rich,None,2978,6,furniture/equipment,2,2,0,2,1,0,-0.1756771640991778,0.019552520322430596
103,166,166,33,female,2,own,little,little,1131,18,furniture/equipment,1,0,0,2,1,0,-0.09667823895619237,-0.007237554906924547
104,167,167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,3,1,0,2,1,0,-0.12570792242936624,-0.07563519273367399
105,168,168,25,female,2,rent,little,None,3972,24,furniture/equipment,1,2,2,2,1,0,0.2297894259813085,-0.053863915762795464
106,169,169,31,male,2,own,little,moderate,1935,24,business,1,1,0,4,1,0,0.09695204179208125,0.2438845149000039
107,170,170,33,male,2,rent,little,little,950,15,car,1,0,2,3,1,0,-0.1452483471446813,0.13270865014596347
108,171,171,26,female,2,own,little,None,763,12,furniture/equipment,1,2,0,2,1,0,-0.1902867923114524,-0.0433905480247231
109,172,172,34,female,3,own,little,moderate,2064,24,furniture/equipment,1,1,0,2,1,0,0.062247667017891514,-0.006651422481455711
110,173,173,33,male,2,own,little,moderate,1414,8,radio/TV,1,1,0,0,1,1,-0.27787478468190924,-0.25748971181265096
111,174,174,26,male,2,own,little,little,3414,21,education,1,0,0,1,1,-1,0.12274113720029918,-0.1803278233207776
112,176,176,42,male,2,own,little,little,2577,12,furniture/equipment,1,0,0,2,1,0,-0.14664027871963392,0.0706732543862471
113,179,179,65,male,2,own,little,little,571,21,car,1,0,0,3,1,-1,-0.218369948838505,0.32635860662658384
114,182,182,40,male,1,own,None,little,1647,21,car,0,0,0,3,1,0,-0.03005834618774794,0.17076577854155925
115,183,183,50,male,2,own,rich,None,3777,24,furniture/equipment,3,2,0,2,1,-1,0.09926887298731182,0.10682782776216641
116,184,184,36,male,2,own,little,moderate,884,18,car,1,1,0,3,1,0,-0.11248876441040795,0.14610182871268354
117,185,185,31,male,2,own,little,None,1360,15,radio/TV,1,2,0,0,1,1,-0.15249356548996612,-0.2839155176650299
118,189,189,33,female,2,own,little,moderate,3244,18,furniture/equipment,1,1,0,2,1,0,0.041928444272791535,0.004991739445614953
119,192,192,36,male,2,own,little,moderate,3915,27,business,1,1,0,4,1,-1,0.2545049723099646,0.28206484233688733
120,193,193,29,male,2,rent,little,None,2108,6,radio/TV,1,2,2,0,1,1,-0.2476580587439571,-0.2756021548774221
121,195,195,34,female,3,own,little,moderate,1501,9,education,1,1,0,1,1,-1,-0.24528538568512728,-0.1170439737598712
122,196,196,28,female,2,own,little,None,1382,6,radio/TV,1,2,0,0,1,1,-0.29057239239960114,-0.28627679868178707
123,198,198,36,male,2,free,None,moderate,2760,24,car,0,1,1,3,1,0,0.11300437644053271,0.14567289720808382
124,199,199,40,male,3,own,little,moderate,4297,18,furniture/equipment,1,1,0,2,1,0,0.0780380431232669,0.05639582347968084
125,201,201,27,male,1,own,little,little,1168,12,car,1,0,0,3,1,0,-0.15390967579452242,0.10077675353170301
126,202,202,26,male,2,own,little,None,5117,27,business,1,2,0,4,1,-1,0.38044433972118274,0.22429345815560792
127,204,204,38,male,1,own,little,None,1495,12,car,1,2,0,3,1,0,-0.1842602340967723,0.17387026063002572
128,206,206,43,male,2,own,little,None,1935,12,furniture/equipment,1,2,0,2,1,0,-0.19346278493964064,0.07343039952791738
129,207,207,26,male,2,own,little,moderate,1424,12,domestic appliances,1,1,0,5,1,-1,-0.10336874492784535,0.3664865610707996
130,208,208,21,male,1,own,little,little,6568,24,business,1,0,0,4,1,-1,0.4479550770493212,0.20597054147289542
131,209,209,55,male,2,own,rich,None,1413,12,car,3,2,0,3,1,0,-0.2696949966109736,0.283433501075196
132,210,210,33,male,2,own,None,None,3074,9,radio/TV,0,2,0,0,1,1,-0.15191142817132847,-0.24976331306862906
133,212,212,50,male,2,own,little,little,5293,27,business,1,0,0,4,1,-1,0.2789694774455106,0.38065960468393595
134,216,216,31,male,2,own,little,little,3104,18,business,1,0,0,4,1,0,0.07120208619067019,0.26193682610336505
135,217,217,23,male,2,own,little,rich,3913,36,radio/TV,1,3,0,0,1,2,0.4111645620273797,-0.3604251051938727
136,218,218,24,male,1,rent,little,little,3021,24,furniture/equipment,1,0,2,2,1,0,0.1721157436619061,-0.06584077974194583
137,219,219,64,female,2,own,little,None,1364,10,car,1,2,0,3,1,-1,-0.3494360609084213,0.3451674114694394
138,220,220,26,male,1,own,little,moderate,625,12,radio/TV,1,1,0,0,1,1,-0.22837810006838666,-0.31489022680143447
139,222,222,30,male,2,own,little,None,707,12,radio/TV,1,2,0,0,1,1,-0.24183579624192633,-0.288524386398393
140,223,223,32,male,2,own,None,None,2978,24,business,0,2,0,4,1,0,0.16066065778733143,0.256393842239511
141,224,224,30,male,2,own,little,None,4657,15,car,1,2,0,3,1,0,0.1120476158271327,0.1347450108600312
142,228,228,22,male,2,own,little,None,1478,9,radio/TV,1,2,0,0,1,1,-0.20480359633267567,-0.330201341952741
143,229,229,22,male,2,free,little,little,3149,24,furniture/equipment,1,0,1,2,1,0,0.1899305025227878,-0.07804558790107223
144,230,230,26,male,2,own,little,rich,4210,36,radio/TV,1,3,0,0,1,2,0.4165194081652921,-0.33928773444198296
145,232,232,35,male,2,own,moderate,None,2141,12,radio/TV,4,2,0,0,1,1,-0.17131537092198773,-0.24786083628247277
146,233,233,25,male,1,own,little,moderate,866,18,radio/TV,1,1,0,0,1,1,-0.10542706147467361,-0.33125477161653194
147,234,234,42,male,1,own,little,None,1544,4,radio/TV,1,2,0,0,1,1,-0.3800182910027832,-0.19095762827723434
148,235,235,30,male,3,own,little,little,1823,24,radio/TV,1,0,0,0,1,1,0.03623651622587955,-0.3046384822108551
149,238,238,35,female,2,own,little,None,1291,12,radio/TV,1,2,0,0,1,1,-0.22707291031840818,-0.25278033472055067
150,239,239,39,male,2,own,little,little,2522,30,radio/TV,1,0,0,0,1,1,0.142139381994325,-0.25362415177736813
151,240,240,29,female,2,own,None,little,915,24,car,0,0,0,3,1,0,0.02494187029362799,0.08968499815877364
152,241,241,51,male,2,own,little,None,1595,6,radio/TV,1,2,0,0,1,-1,-0.3849109970844834,-0.13616932265399662
153,243,243,27,female,2,own,little,None,1185,12,business,1,2,0,4,1,3,-0.13827507138501274,0.23622563536855284
154,245,245,25,male,2,own,little,None,1258,24,business,1,2,0,4,1,0,0.08079778978695915,0.20112939884285932
155,246,246,52,male,2,own,little,None,717,12,radio/TV,1,2,0,0,1,1,-0.34478144857736115,-0.1460646157242443
156,248,248,26,male,2,own,little,rich,1925,24,furniture/equipment,1,3,0,2,1,0,0.09080298699427744,-0.0592384121570069
157,251,251,46,female,1,own,little,rich,2251,12,furniture/equipment,1,3,0,2,1,0,-0.18686159380345546,0.0946777355390112
158,252,252,24,female,2,own,little,moderate,2150,30,car,1,1,0,3,1,0,0.23193309022623185,0.053182119198719194
159,253,253,35,male,2,own,moderate,None,4151,24,furniture/equipment,4,2,0,2,1,0,0.19443966081298047,0.01190020646905519
160,254,254,24,male,2,own,None,moderate,2030,9,furniture/equipment,0,1,0,2,1,0,-0.14897341643325848,-0.04335995130697584
161,256,256,35,male,1,own,little,None,2684,24,radio/TV,1,2,0,0,1,1,0.06916980028211357,-0.26729125280672156
162,257,257,29,male,2,free,little,little,2149,12,radio/TV,1,0,1,0,1,1,-0.14253560588411224,-0.28665141536304883
163,258,258,23,female,2,own,moderate,None,3812,15,car,4,2,0,3,1,0,0.08958221485248732,0.08454475703198906
164,260,260,27,male,2,own,little,little,1657,12,furniture/equipment,1,0,0,2,1,0,-0.13635214498686885,-0.03174357982318507
165,261,261,55,female,2,own,little,little,1603,24,radio/TV,1,0,0,0,1,-1,-0.09592396439742357,-0.14409142981642498
166,262,262,36,male,3,free,little,little,5302,18,car,1,0,1,3,1,0,0.17731924624063367,0.17167164530024598
167,264,264,32,male,1,own,little,None,1231,10,car,1,2,0,3,1,0,-0.20746720551501202,0.13726762669583095
168,265,265,37,male,2,own,little,moderate,802,15,radio/TV,1,1,0,0,1,1,-0.21735173837258423,-0.24830814345615132
169,266,266,36,male,2,own,None,None,6304,36,business,0,2,0,4,1,-1,0.5648659138881655,0.2789616958609489
170,267,267,38,female,2,own,little,None,1533,24,radio/TV,1,2,0,0,1,1,-0.02045996186940562,-0.25453439233522807
171,269,269,25,male,2,own,None,None,999,24,radio/TV,0,2,0,0,1,1,0.005730325061019096,-0.341771568741802
172,270,270,32,male,2,own,None,None,2662,18,car,0,2,0,3,1,0,0.022979547383534086,0.13050100842120074
173,273,273,28,male,2,own,little,moderate,3060,48,radio/TV,1,1,0,0,1,2,0.536530350913926,-0.35557100757838994
174,275,275,32,male,2,own,little,None,2697,9,radio/TV,1,2,0,0,1,1,-0.17193237212185394,-0.25841806869077144
175,276,276,26,female,2,own,little,None,2404,18,radio/TV,1,2,0,0,1,1,-0.009247878419155019,-0.3158805598924972
176,278,278,32,female,2,own,little,None,4611,6,furniture/equipment,1,2,0,2,1,0,-0.06855709135287838,0.029003744968761427
177,280,280,23,male,2,rent,rich,None,3368,15,car,3,2,2,3,1,0,0.06045710015600418,0.08197504255374602
178,281,281,50,male,2,own,little,None,1574,12,furniture/equipment,1,2,0,2,1,0,-0.25010749280274,0.11665075321911014
179,283,283,63,male,2,own,None,None,1520,15,furniture/equipment,0,2,0,2,1,-1,-0.263652391800562,0.19484151726572912
180,284,284,37,male,2,own,moderate,moderate,3878,24,car,4,1,0,3,1,0,0.18163277532370242,0.15861629793918597
181,286,286,26,male,2,own,little,little,4788,48,car,1,0,0,3,1,-1,0.7028588389151662,0.04753589222077717
182,288,288,49,female,2,own,little,moderate,1092,12,radio/TV,1,1,0,0,1,1,-0.30605504003951517,-0.16331268888744183
183,289,289,48,male,2,own,little,little,1024,24,radio/TV,1,0,0,0,1,1,-0.10094053539624803,-0.19275217001560982
184,290,290,26,male,2,own,little,None,1076,12,business,1,2,0,4,1,3,-0.1407159911493728,0.22912196866571027
185,292,292,44,female,3,free,little,little,6419,24,car,1,0,1,3,1,0,0.3153508666704996,0.21863239806249873
186,297,297,45,male,1,own,None,None,1287,10,car,0,2,0,3,1,0,-0.2650129087177767,0.2217383086866387
187,298,298,43,male,2,own,little,None,2515,18,furniture/equipment,1,2,0,2,1,0,-0.05298349239194792,0.0655006798165542
188,299,299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,3,1,0,2,1,0,0.06512113926514149,-0.010012385863371531
189,301,301,42,female,2,own,little,moderate,3804,36,radio/TV,1,1,0,0,1,-1,0.3145403482746949,-0.23807250442222802
190,303,303,49,male,2,own,little,little,1038,10,car,1,0,0,3,1,0,-0.30018324670333424,0.24618843852144048
191,305,305,33,male,2,own,rich,None,1543,6,furniture/equipment,3,2,0,2,1,0,-0.2745181747207862,0.017720062803635257
192,308,308,24,female,2,own,little,moderate,1237,8,furniture/equipment,1,1,0,2,1,0,-0.2180640827594905,-0.046068461644158364
193,309,309,22,male,1,rent,little,moderate,276,9,car,1,1,2,3,1,0,-0.24009295588498758,0.0688933840955594
194,311,311,25,male,2,own,moderate,None,5511,24,furniture/equipment,4,2,0,2,1,0,0.3307433708414156,-0.044956729767263864
195,312,312,26,female,2,own,little,rich,3749,24,furniture/equipment,1,3,0,2,1,0,0.21045210682847834,-0.04868174727341388
196,313,313,25,male,1,own,little,moderate,685,12,car,1,1,0,3,1,0,-0.17617474819389117,0.08503569414238175
197,315,315,31,male,2,own,little,little,2746,36,furniture/equipment,1,0,0,2,1,0,0.32597832993918574,-0.04469579644112131
198,316,316,38,male,1,own,little,little,708,12,furniture/equipment,1,0,0,2,1,0,-0.2504046094889216,0.03396489197279954
199,317,317,48,female,1,own,None,moderate,4351,24,furniture/equipment,0,1,0,2,1,-1,0.1463399407550212,0.09720430937172556
200,318,318,32,male,2,own,little,None,701,12,education,1,2,0,1,1,-1,-0.23712825465021126,-0.1402629936541837
201,319,319,27,female,1,own,little,little,3643,15,furniture/equipment,1,0,0,2,1,0,0.04514019165912931,-0.025892593383595966
202,320,320,28,male,3,own,little,moderate,4249,30,car,1,1,0,3,1,0,0.3507847551851392,0.09122164001305845
203,321,321,32,male,2,own,little,little,1938,24,radio/TV,1,0,0,0,1,1,0.034361853921856915,-0.2910272762629606
204,322,322,34,male,3,free,little,little,2910,24,car,1,0,1,3,1,0,0.13226227161520412,0.13359541724382526
205,323,323,28,male,2,own,rich,little,2659,18,furniture/equipment,3,0,0,2,1,0,0.027099961244101075,-0.030758099877448743
206,324,324,36,female,2,own,little,None,1028,18,car,1,2,0,3,1,0,-0.10304278126560258,0.14693524962454613
207,325,325,39,male,1,own,little,little,3398,8,car,1,0,0,3,1,0,-0.13242675535190065,0.19888133215295575
208,327,327,34,female,2,own,rich,None,1525,24,car,3,2,0,3,1,0,0.041410280951624974,0.125579528612369
209,328,328,31,male,2,own,little,rich,4473,36,radio/TV,1,3,0,0,1,2,0.4102256233285151,-0.30540151688016764
210,329,329,28,male,2,own,little,moderate,1068,6,radio/TV,1,1,0,0,1,1,-0.31116988342369056,-0.28809411928126527
211,331,331,30,female,2,own,moderate,None,1864,18,education,4,2,0,1,1,-1,-0.048987520388258786,-0.15776414294899632
212,334,334,23,male,2,rent,little,little,4110,24,furniture/equipment,1,0,2,2,1,0,0.2482601558939127,-0.0660108474697092
213,336,336,23,female,1,own,little,moderate,2101,13,radio/TV,1,1,0,0,1,1,-0.10035711681125281,-0.327647194899299
214,338,338,28,male,2,own,little,little,4169,24,furniture/equipment,1,0,0,2,1,0,0.2285845616019948,-0.03330530953303256
215,339,339,31,male,1,own,little,moderate,1521,10,furniture/equipment,1,1,0,2,1,0,-0.19825433393722178,-0.002877261431813844
216,340,340,24,female,2,free,little,moderate,5743,24,education,1,1,1,1,1,-1,0.3361516103192147,-0.18543730131774225
217,341,341,26,female,1,rent,little,little,3599,21,furniture/equipment,1,0,2,2,1,0,0.14939605527874836,-0.04390661708675475
218,342,342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,2,1,2,0,1,1,0.04852934436461898,-0.3176711682822157
219,343,343,33,male,3,own,little,moderate,4439,18,business,1,1,0,4,1,0,0.1493558921968039,0.28260895922120677
220,344,344,37,male,1,own,little,rich,3949,10,car,1,3,0,3,1,0,-0.05272009715389244,0.18536251327585956
221,345,345,43,female,1,own,little,None,1459,15,radio/TV,1,2,0,0,1,1,-0.2025094284709074,-0.20566878030343202
222,346,346,23,male,2,own,little,moderate,882,13,radio/TV,1,1,0,0,1,1,-0.18031998801623686,-0.3347023344240248
223,350,350,23,female,2,rent,little,None,1236,9,domestic appliances,1,2,2,5,1,-1,-0.15278999237587246,0.35162332061787754
224,351,351,29,female,2,own,little,moderate,959,9,furniture/equipment,1,1,0,2,1,0,-0.24277373956982942,-0.017194452470332126
225,352,352,38,male,3,own,None,None,3229,18,car,0,2,0,3,1,0,0.031918117819707645,0.1726194835040059
226,355,355,23,male,1,own,little,moderate,1246,24,car,1,1,0,3,1,0,0.0749095003021433,0.05276382848466719
227,356,356,49,male,2,own,None,None,2331,12,radio/TV,0,2,0,0,1,1,-0.22478022673108589,-0.15614179645829065
228,357,357,26,male,3,own,little,None,4463,36,radio/TV,1,2,0,0,1,2,0.4331154757738737,-0.33782346020100223
229,358,358,28,male,2,own,little,None,776,12,radio/TV,1,2,0,0,1,1,-0.22789126658620798,-0.3010706656255743
